ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","339"
"Agudo","4300109","-29.644700000000","-53.251500000000","2.824"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1.573"
"Alecrim","4300307","-27.657900000000","-54.764899999990","973"
"Alegrete","4300406","-29.790199999990","-55.794899999990","35.182"
"Alegria","4300455","-27.834499999990","-54.055700000000","631"
"Alpestre","4300505","-27.250200000000","-53.034100000000","769"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","402"
"Alvorada","4300604","-29.991399999990","-51.080900000000","63.128"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","399"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","..."
"André da Rocha","4300661","-28.628299999990","-51.579700000000","168"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","905"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","3.886"
"Arambaré","4300851","-30.909300000000","-51.504600000000","1.671"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.140"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","5.844"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","4.302"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1.582"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","4.995"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","6.184"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1.900"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1.513"
"Áurea","4301552","-27.693600000000","-52.050500000000","486"
"Bagé","4301602","-31.329699999990","-54.099899999990","48.715"
"Barão","4301651","-29.372500000000","-51.494900000000","46"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.131"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","33"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","507"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","4.275"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","124"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","371"
"Barracão","4301800","-27.673900000000","-51.458599999990","892"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","979"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","42.732"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","..."
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","1.967"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2.997"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","2.311"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","328"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","4.287"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","..."
"Braga","4302600","-27.617300000000","-53.740499999990","662"
"Brochier","4302659","-29.550100000000","-51.594499999990","669"
"Butiá","4302709","-30.117899999990","-51.960099999990","7.677"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","10.078"
"Cacequi","4302907","-29.888300000000","-54.822000000000","5.264"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","35.091"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","48.021"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","543"
"Caiçara","4303400","-27.279100000000","-53.425699999990","691"
"Camaquã","4303509","-30.848900000000","-51.804299999990","20.390"
"Camargo","4303558","-28.588000000000","-52.200299999990","275"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2.178"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","498"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1.157"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","1.744"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","27.737"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.819"
"Candelária","4304200","-29.668399999990","-52.789499999990","5.415"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","1.088"
"Candiota","4304358","-31.551500000000","-53.677300000000","2.885"
"Canela","4304408","-29.356000000000","-50.811900000000","13.477"
"Canguçu","4304507","-31.396000000000","-52.678199999990","5.535"
"Canoas","4304606","-29.912800000000","-51.185699999990","150.549"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","23.785"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","5.860"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","2.804"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","7.419"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","80"
"Casca","4304903","-28.560500000000","-51.981499999990","2.129"
"Caseiros","4304952","-28.258199999990","-51.686100000000","311"
"Catuípe","4305009","-28.255400000000","-54.013199999990","2.654"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","175.080"
"Centenário","4305116","-27.761600000000","-51.998399999990","195"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","7"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","693"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","4.625"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","12.087"
"Charrua","4305371","-27.949300000000","-52.015000000000","224"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","1.062"
"Cidreira","4305454","-30.160399999990","-50.233800000000","15.246"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","745"
"Colinas","4305587","-29.381499999990","-51.852600000000","480"
"Constantina","4305801","-27.731999999990","-52.993800000000","2.235"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1.786"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","775"
"Coxilha","4305975","-28.128000000000","-52.302300000000","399"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","3.064"
"Cristal","4306056","-31.004600000000","-52.043599999990","1.271"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","32.952"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","3.238"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","525"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","230"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","220"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","8.950"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","254"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","476"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","900"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","15.813"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","1.510"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","9.898"
"Encantado","4306809","-29.235099999990","-51.870300000000","8.611"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","4.742"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","120"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","614"
