,,,,
Município,ibge,latitude,longitude,/Energia Elétr...umo/Residencial 2012 (MWh)
Água Santa,4300059,-28.167200000000,-52.030999999990,906
Agudo,4300109,-29.644700000000,-53.251500000000,6379
Ajuricaba,4300208,-28.234200000000,-53.775700000000,2923
Alecrim,4300307,-27.657900000000,-54.764899999990,1606
Alegrete,4300406,-29.790199999990,-55.794899999990,51773
Alegria,4300455,-27.834499999990,-54.055700000000,1049
Alpestre,4300505,-27.250200000000,-53.034100000000,1638
Alto Feliz,4300570,-29.391900000000,-51.312300000000,912
Alvorada,4300604,-29.991399999990,-51.080900000000,101919
Amaral Ferrador,4300638,-30.875599999990,-52.250999999990,1167
Ametista do Sul,4300646,-27.360700000000,-53.183000000000,113
André da Rocha,4300661,-28.628299999990,-51.579700000000,472
Anta Gorda,4300703,-28.969799999990,-52.010199999990,2182
Antônio Prado,4300802,-28.856500000000,-51.288300000000,7481
Arambaré,4300851,-30.909300000000,-51.504600000000,3896
Araricá,4300877,-29.616800000000,-50.929099999990,4627
Aratiba,4300901,-27.397800000000,-52.297499999990,2382
Arroio do Meio,4301008,-29.401399999990,-51.955700000000,13747
Arroio do Padre,4301073,-31.431600000000,-52.417099999990,280
Arroio do Sal,4301057,-29.543900000000,-49.889499999990,14418
Arroio do Tigre,4301206,-29.334800000000,-53.096600000000,3814
Arroio dos Ratos,4301107,-30.087500000000,-51.727499999990,8292
Arroio Grande,4301305,-32.232700000000,-53.086199999990,10207
Arvorezinha,4301404,-28.873699999990,-52.178100000000,4148
Augusto Pestana,4301503,-28.517299999990,-53.988300000000,2728
Áurea,4301552,-27.693600000000,-52.050500000000,1073
Bagé,4301602,-31.329699999990,-54.099899999990,73811
Balneário Pinhal,4301636,-30.241900000000,-50.233600000000,15436
Barão,4301651,-29.372500000000,-51.494900000000,117
Barão de Cotegipe,4301701,-27.620799999990,-52.379800000000,2660
Barão do Triunfo,4301750,-30.389099999990,-51.738399999990,293
Barra do Guarita,4301859,-27.192699999990,-53.710900000000,1037
Barra do Quaraí,4301875,-30.202900000000,-57.549700000000,1614
Barra do Ribeiro,4301909,-30.293900000000,-51.301400000000,7223
Barra do Rio Azul,4301925,-27.406800000000,-52.408400000000,343
Barra Funda,4301958,-27.920500000000,-53.039099999990,1089
Barracão,4301800,-27.673900000000,-51.458599999990,2001
Barros Cassal,4302006,-29.094700000000,-52.583599999990,2128
Benjamin Constant do Sul,4302055,-27.508600000000,-52.599499999990,440
Bento Gonçalves,4302105,-29.166200000000,-51.516500000000,82238
Boa Vista das Missões,4302154,-27.667100000000,-53.310200000000,7
Boa Vista do Buricá,4302204,-27.669300000000,-54.108199999990,3483
Boa Vista do Cadeado,4302220,-28.571600000000,-53.813800000000,274
Boa Vista do Sul,4302253,-29.354399999990,-51.668700000000,335
Bom Jesus,4302303,-28.669699999990,-50.429499999990,5051
Bom Princípio,4302352,-29.485600000000,-51.354799999990,8744
Bom Progresso,4302378,-27.539899999990,-53.871600000000,802
Bom Retiro do Sul,4302402,-29.608599999990,-51.946399999990,7589
Boqueirão do Leão,4302451,-29.304600000000,-52.428400000000,98
Bossoroca,4302501,-28.729099999990,-54.903500000000,46
Bozano,4302584,-28.367460000000,-53.772239999990,0
Braga,4302600,-27.617300000000,-53.740499999990,1173
Brochier,4302659,-29.550100000000,-51.594499999990,1850
Butiá,4302709,-30.117899999990,-51.960099999990,12400
Caçapava do Sul,4302808,-30.514399999990,-53.482700000000,18534
Cacequi,4302907,-29.888300000000,-54.822000000000,7292
Cachoeira do Sul,4303004,-30.033000000000,-52.892800000000,55328
Cachoeirinha,4303103,-29.947199999990,-51.101599999990,96359
Cacique Doble,4303202,-27.766999999990,-51.659700000000,1320
Caiçara,4303400,-27.279100000000,-53.425699999990,1328
Camaquã,4303509,-30.848900000000,-51.804299999990,36076
Camargo,4303558,-28.588000000000,-52.200299999990,868
Cambará do Sul,4303608,-29.047400000000,-50.146500000000,3424
Campestre da Serra,4303673,-28.792600000000,-51.094099999990,1061
Campina das Missões,4303707,-27.988800000000,-54.841700000000,1794
Campinas do Sul,4303806,-27.717400000000,-52.624800000000,2849
Campo Bom,4303905,-29.674700000000,-51.060600000000,58244
Campo Novo,4304002,-27.679200000000,-53.805199999990,2420
Candelária,4304200,-29.668399999990,-52.789499999990,12211
Cândido Godói,4304309,-27.951499999990,-54.751700000000,1708
Candiota,4304358,-31.551500000000,-53.677300000000,4736
Canela,4304408,-29.356000000000,-50.811900000000,31186
Canguçu,4304507,-31.396000000000,-52.678199999990,13744
Canoas,4304606,-29.912800000000,-51.185699999990,289937
Capão Bonito do Sul,4304622,-29.764199999990,-50.028199999990,426
Capão da Canoa,4304630,-29.639700000000,-49.959899999990,61414
Capão do Cipó,4304655,-28.904000000000,-54.700000000000,457
Capão do Leão,4304663,-31.756499999990,-52.488900000000,13759
Capela de Santana,4304689,-29.696100000000,-51.328000000000,6843
Capitão,4304697,-29.267399999990,-51.985300000000,5
Capivari do Sul,4304671,-30.138200000000,-50.515099999990,2543
Caraá,4304713,-29.786899999990,-50.431600000000,1596
Carazinho,4304705,-28.295800000000,-52.793300000000,0
Carlos Barbosa,4304804,-29.296900000000,-51.502899999990,17149
Carlos Gomes,4304853,-27.716699999990,-51.912100000000,323
Casca,4304903,-28.560500000000,-51.981499999990,4522
Caseiros,4304952,-28.258199999990,-51.686100000000,1055
Catuípe,4305009,-28.255400000000,-54.013199999990,3811
Caxias do Sul,4305108,-29.162900000000,-51.179200000000,341829
Centenário,4305116,-27.761600000000,-51.998399999990,631
Cerrito,4305124,-31.841899999990,-52.800400000000,2117
Cerro Branco,4305132,-29.657000000000,-52.940600000000,11
Cerro Grande,4305157,-27.610600000000,-53.167200000000,3
Cerro Grande do Sul,4305173,-30.590499999990,-51.741799999990,1910
Cerro Largo,4305207,-28.146200000000,-54.742800000000,8069
