0,municipio,ibge,latitude,longitude,mwh,ano
1,agua Santa,4300059,-28.167200000000,-52.030999999990,2025,2007
2,Agudo,4300109,-29.644700000000,-53.251500000000,55546,2007
3,Ajuricaba,4300208,-28.234200000000,-53.775700000000,4378,2007
4,Alecrim,4300307,-27.657900000000,-54.764899999990,2829,2007
5,Alegrete,4300406,-29.790199999990,-55.794899999990,159615,2007
6,Alegria,4300455,-27.834499999990,-54.055700000000,2651,2007
7,Alpestre,4300505,-27.250200000000,-53.034100000000,8238,2007
8,Alto Feliz,4300570,-29.391900000000,-51.312300000000,4022,2007
9,Alvorada,4300604,-29.991399999990,-51.080900000000,146585,2007
10,Amaral Ferrador,4300638,-30.875599999990,-52.250999999990,3205,2007
11,Ametista do Sul,4300646,-27.360700000000,-53.183000000000,11959,2007
12,Andra da Rocha,4300661,-28.628299999990,-51.579700000000,2522,2007
13,Anta Gorda,4300703,-28.969799999990,-52.010199999990,10867,2007
14,Antanio Prado,4300802,-28.856500000000,-51.288300000000,36527,2007
15,Arambara,4300851,-30.909300000000,-51.504600000000,9324,2007
16,Ararica,4300877,-29.616800000000,-50.929099999990,9199,2007
17,Aratiba,4300901,-27.397800000000,-52.297499999990,9614,2007
18,Arroio do Meio,4301008,-29.401399999990,-51.955700000000,79347,2007
19,Arroio do Padre,4301073,-31.431600000000,-52.417099999990,2423,2007
20,Arroio do Sal,4301057,-29.543900000000,-49.889499999990,17551,2007
21,Arroio do Tigre,4301206,-29.334800000000,-53.096600000000,20400,2007
22,Arroio dos Ratos,4301107,-30.087500000000,-51.727499999990,20222,2007
23,Arroio Grande,4301305,-32.232700000000,-53.086199999990,34148,2007
24,Arvorezinha,4301404,-28.873699999990,-52.178100000000,13030,2007
25,Augusto Pestana,4301503,-28.517299999990,-53.988300000000,3972,2007
26,aurea,4301552,-27.693600000000,-52.050500000000,3648,2007
27,Baga,4301602,-31.329699999990,-54.099899999990,127639,2007
28,Balneario Pinhal,4301636,-30.241900000000,-50.233600000000,18144,2007
29,Barao,4301651,-29.372500000000,-51.494900000000,877,2007
30,Barao de Cotegipe,4301701,-27.620799999990,-52.379800000000,7280,2007
31,Barao do Triunfo,4301750,-30.389099999990,-51.738399999990,1663,2007
32,Barra do Guarita,4301859,-27.192699999990,-53.710900000000,2234,2007
33,Barra do Quaraa,4301875,-30.202900000000,-57.549700000000,22991,2007
34,Barra do Ribeiro,4301909,-30.293900000000,-51.301400000000,17784,2007
35,Barra do Rio Azul,4301925,-27.406800000000,-52.408400000000,2262,2007
36,Barra Funda,4301958,-27.920500000000,-53.039099999990,6023,2007
37,Barracao,4301800,-27.673900000000,-51.458599999990,5269,2007
38,Barros Cassal,4302006,-29.094700000000,-52.583599999990,8116,2007
39,Benjamin Constant do Sul,4302055,-27.508600000000,-52.599499999990,1241,2007
40,Bento Gonaalves,4302105,-29.166200000000,-51.516500000000,339746,2007
41,Boa Vista das Missaes,4302154,-27.667100000000,-53.310200000000,69,2007
42,Boa Vista do Burica,4302204,-27.669300000000,-54.108199999990,9612,2007
43,Boa Vista do Cadeado,4302220,-28.571600000000,-53.813800000000,1571,2007
44,Boa Vista do Sul,4302253,-29.354399999990,-51.668700000000,4298,2007
45,Bom Jesus,4302303,-28.669699999990,-50.429499999990,10715,2007
46,Bom Princapio,4302352,-29.485600000000,-51.354799999990,39829,2007
47,Bom Progresso,4302378,-27.539899999990,-53.871600000000,2508,2007
48,Bom Retiro do Sul,4302402,-29.608599999990,-51.946399999990,20758,2007
49,Boqueirao do Leao,4302451,-29.304600000000,-52.428400000000,783,2007
50,Bossoroca,4302501,-28.729099999990,-54.903500000000,188,2007
51,Bozano,4302584,-28.367460000000,-53.772239999990,11,2007
52,Braga,4302600,-27.617300000000,-53.740499999990,2779,2007
53,Brochier,4302659,-29.550100000000,-51.594499999990,6605,2007
54,Butia,4302709,-30.117899999990,-51.960099999990,31209,2007
