"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","2.025"
"Agudo","4300109","-29.644700000000","-53.251500000000","55.546"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","4.378"
"Alecrim","4300307","-27.657900000000","-54.764899999990","2.829"
"Alegrete","4300406","-29.790199999990","-55.794899999990","159.615"
"Alegria","4300455","-27.834499999990","-54.055700000000","2.651"
"Alpestre","4300505","-27.250200000000","-53.034100000000","8.238"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","4.022"
"Alvorada","4300604","-29.991399999990","-51.080900000000","146.585"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","3.205"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","11.959"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","2.522"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","10.867"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","36.527"
"Arambaré","4300851","-30.909300000000","-51.504600000000","9.324"
"Araricá","4300877","-29.616800000000","-50.929099999990","9.199"
"Aratiba","4300901","-27.397800000000","-52.297499999990","9.614"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","79.347"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","2.423"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","17.551"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","20.400"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","20.222"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","34.148"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","13.030"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","3.972"
"Áurea","4301552","-27.693600000000","-52.050500000000","3.648"
"Bagé","4301602","-31.329699999990","-54.099899999990","127.639"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","18.144"
"Barão","4301651","-29.372500000000","-51.494900000000","877"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","7.280"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","1.663"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","2.234"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","22.991"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","17.784"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","2.262"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","6.023"
"Barracão","4301800","-27.673900000000","-51.458599999990","5.269"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","8.116"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","1.241"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","339.746"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","69"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","9.612"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","1.571"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","4.298"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","10.715"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","39.829"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","2.508"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","20.758"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","783"
